TIME	SCA_COEFF(370)	SCA_COEFF(470)	SCA_COEFF(520)	SCA_COEFF(590)	SCA_COEFF(660)	SCA_COEFF(880)	SCA_COEFF(950)
2022-06-15 07:00:00	51.58931228808973	31.024475276036164	25.013551007933927	19.274788518724108	15.22263739573475	8.281092690871485	7.048248376052698
2022-06-15 08:00:00	50.471066606078644	29.48132805173148	23.653892116308988	17.9932845204669	14.018292976443481	7.370268364336889	6.233878681258252
2022-06-15 09:00:00	50.482951217669054	28.759839524553648	22.66357559558336	16.89728727313488	13.050990632372164	6.69258949356934	5.589322600838912
2022-06-15 10:00:00	60.21826616414266	34.97068399014866	27.960654744164387	21.150978415056198	16.46545961382842	8.764513893323514	7.414162287543752
2022-06-15 11:00:00	61.9919580427207	35.16891468217405	27.525140886948094	20.441094181989406	15.694688009496286	7.925931354060106	6.618460940824324
2022-06-15 12:00:00	63.799499092594566	36.123256025593605	28.430726606244075	21.018711219726683	16.205681323942116	8.215321595492725	6.841074443102041
2022-06-15 13:00:00	71.79197697300087	39.86232823156929	31.061282977686503	22.78954137942949	17.297080055205676	8.578204481384581	7.100437433009121
2022-06-15 14:00:00	73.40027152795682	40.44242030429396	31.546173098532456	23.08629862658223	17.572258538319822	8.640006271269174	7.131095840233641
2022-06-15 15:00:00	77.51531007286565	43.52735535782681	34.07660640066349	25.077498110611415	19.26192986448087	9.714043808511054	8.110954472038756
2022-06-15 16:00:00	66.965900766533	38.49174316576199	30.294717359553317	22.533020451432243	17.333261344602434	8.84175008984673	7.377055445913809
2022-06-15 17:00:00	55.983362648021384	31.79301355932016	25.023551317349686	18.7153804247366	14.318164674321704	7.279091210050441	6.101804955560074
2022-06-15 18:00:00	55.26747980821248	31.11068227799808	24.396887100815977	18.1482861169089	13.946781739822583	7.083093599144897	5.913736019231495
2022-06-15 19:00:00	56.083441337495515	32.4812454296201	25.810289191490618	19.165925894837017	14.724359149360883	7.5848203997420445	6.351444566982505
2022-06-15 20:00:00	66.45370380685682	37.94867968333776	29.986735088753512	22.504591562009647	17.32985873931156	8.892100634350701	7.458489691354142
2022-06-15 21:00:00	69.22865517969196	41.21906705966315	33.06140496186228	25.36482629019153	19.993664216450934	10.801773882875004	9.156370755323294
2022-06-15 22:00:00	66.88321453308922	38.39782272192538	30.362815415009866	22.68541247020836	17.494633987658037	9.012028174273382	7.530775393236658
2022-06-15 23:00:00	69.25635024037693	38.54028826113053	30.14165650387463	22.226834567903943	16.93286940967642	8.308476871527871	6.88439399705181
2022-06-16 00:00:00	69.91805917985425	38.40161202508364	29.849001964521797	21.912214165107024	16.58245573935077	8.052029004028572	6.655577228811561
2022-06-16 01:00:00	77.56460137960477	42.41546316509542	32.84428441418633	23.920898125627424	18.084753243916936	8.883665822608855	7.328118186902172
2022-06-16 02:00:00	88.33150635251124	49.264477131899525	38.530547124075056	28.336889182346397	21.43885641235628	10.589285264699082	8.755334798316891
2022-06-16 03:00:00	97.5318755760776	54.95782377006438	43.16295083465076	31.88188818271253	24.235751571070885	12.162518716515304	10.113540917040144
2022-06-16 04:00:00	92.66492086301578	51.68675897500039	40.45593933814416	29.820763569910326	22.702052152605418	11.287259052494976	9.392888592620126
2022-06-16 05:00:00	99.84415157314533	56.82562780625594	44.79517847003106	33.16298668429174	25.456527235398553	12.806586377962908	10.671111878393813
2022-06-16 06:00:00	114.65909637518266	66.64814009268947	52.67360031940504	39.41544260681785	30.484736619552102	15.75278871166973	13.23301118224089
2022-06-16 07:00:00	99.86408093855458	58.85484070792578	46.79654067967613	35.16744413912028	27.347506046821096	14.373138018065713	12.114551140611711
2022-06-16 08:00:00	71.7107825651546	44.51410045860152	36.44400488833398	28.29326543735506	22.65613346345794	12.667591933783054	10.843133097896146
2022-06-16 09:00:00	59.38222145192374	34.875481860031826	27.57949350978584	20.645684060490908	15.909734873209658	8.32608777401136	7.003121867385513
2022-06-16 10:00:00	61.108219500399585	35.13798218185062	27.51492771258233	20.408023626675373	15.723943081366087	8.033816303407306	6.736094341477052
2022-06-16 11:00:00	59.296256953625864	33.47958044646511	26.056473761727993	19.301805407734392	14.842639289410233	7.45043501182119	6.199174960499708
2022-06-16 12:00:00	57.09779292915859	32.08649964223319	25.103528209083187	18.67591040041956	14.25806466406807	7.077903260746481	5.882660239072779
2022-06-16 13:00:00	52.03611218269003	28.76456017221048	22.304558215999663	16.39141196168285	12.417587397706761	6.028827910286518	4.986399356270919
2022-06-16 14:00:00	46.03619890503469	25.754393773090598	20.379456582678053	15.149690225826042	11.658964490021898	5.828960669466723	4.861888778779349
2022-06-16 15:00:00	45.646468407825836	26.37769059433226	20.928929362093726	15.717851733678117	12.223343030303736	6.42016394775977	5.396297343528219
2022-06-16 16:00:00	46.449581723928986	27.276394370018792	21.818330137554938	16.565737910256836	13.000291765715666	6.847375656612414	5.772182261122844
2022-06-16 17:00:00	48.90324123515242	27.915028331155106	22.204031268988047	16.617686314104667	12.779132203130409	6.591691618565968	5.53141148280776
2022-06-16 18:00:00	52.90883696182116	29.874510362542665	23.589227801058904	17.559992160939363	13.504146430589433	6.881889823173657	5.739941461363953
2022-06-16 19:00:00	57.76738568714733	32.30309853994654	25.305008922184705	18.650218392082834	14.287696334741462	7.19319911732183	5.983460065880766
2022-06-16 20:00:00	65.2378964642907	36.771241431905125	28.861160999862875	21.30419955054311	16.31654716871337	8.182050524426394	6.835369229629666
2022-06-16 21:00:00	69.53451739445464	39.269034757753744	31.1258718079354	22.931966363831833	17.747798982601683	9.146971246336825	7.6611648848119245
