TIME	ABS_COEFF(370)	ABS_COEFF(470)	ABS_COEFF(520)	ABS_COEFF(590)	ABS_COEFF(660)	ABS_COEFF(880)	ABS_COEFF(950)
2022-06-15 00:00:00	15.924189460420006	11.643257000648001	10.28158542417189	8.724195368500315	7.496555192769739	5.389345056551788	4.998667406590494
2022-06-15 01:00:00	15.237887728521827	11.478826336886328	10.147139365631443	8.680543211545702	7.5467180156209865	5.422819249449624	5.060618358182631
2022-06-15 02:00:00	14.322818752657593	10.680163112901061	9.38291966445418	7.963400633005647	6.8611594366539395	4.887232163084229	4.638577500461203
2022-06-15 03:00:00	16.73979441716856	12.856911899841304	11.222707833955003	9.672070776657602	8.354896828224415	5.962590609927248	5.556225970919721
2022-06-15 04:00:00	23.025920425279395	17.7741717494761	15.701884415855075	13.382504117799625	11.420402669133974	8.121676051837747	7.65094252162883
2022-06-15 05:00:00	32.793287102438946	25.150061523928297	22.09161025069831	19.03857645463292	16.470126836159537	11.862417108171051	11.17053095895707
2022-06-15 06:00:00	40.23319573229165	32.04831937031087	28.042617368199036	24.48262402911525	20.61692019186265	15.08012390047565	14.422955917544222
2022-06-15 07:00:00	38.02509450792359	29.887230646586026	26.124992006911643	22.742773773352855	19.295965856779805	14.13029367699952	13.319454592309295
2022-06-15 08:00:00	32.067199762894504	25.251851934828384	22.339274042746492	19.04481247705501	16.748809185333137	11.703414691906325	11.290560927666833
2022-06-15 09:00:00	23.44366930556524	17.72719155982991	15.921243774526328	13.713013306170257	11.526301961819941	8.20117725997011	7.860026983252288
2022-06-15 10:00:00	17.704595402590634	13.60859493418038	11.92324256003416	10.432865512152269	8.873245997687306	6.276411168344471	5.854364925456877
2022-06-15 11:00:00	17.53550657009398	13.61642496578808	11.873709801624523	10.26449290675591	8.823083174836059	6.217831330773257	5.916315877049012
2022-06-15 12:00:00	18.61966437845487	14.454238347811843	12.87851718650574	11.106355933737712	9.55323092967088	6.636258741996222	6.2686619142292885
2022-06-15 13:00:00	20.52937354547588	16.11420504864397	14.081455605025505	12.041759297050826	10.445014447026388	7.213688569483913	6.853324019880074
2022-06-15 14:00:00	19.773447000196732	15.503462583243472	13.699345754436875	11.879622714076552	10.099448334051127	7.029580508545808	6.6287518203585805
2022-06-15 15:00:00	22.677796358374522	17.413990295521963	15.128719639972127	12.983398682786028	11.02467373330747	7.820408315757213	7.4108825842093
2022-06-15 16:00:00	20.73824798561881	16.42740631295192	14.37865215548333	12.521933023551558	10.578781974629715	7.661405899492486	7.3566755015661816
2022-06-15 17:00:00	18.191969096257456	14.438578284596447	12.765299452997997	11.193660247646935	9.675851163307263	6.979369219199052	6.473874441378239
2022-06-15 18:00:00	18.430682742135083	14.689139296042805	12.871441078161505	11.243548427023637	9.692572104257676	6.887315188730001	6.504849917174307
2022-06-15 19:00:00	21.45438892325169	16.865888082983048	15.00842579812015	13.201659467559086	11.102704791076075	7.908278072114035	7.546400290817099
2022-06-15 20:00:00	19.803286205931435	15.432992298774185	13.52951915417526	11.867150669232378	10.116169275001543	7.184398650698306	6.83783628198204
2022-06-15 21:00:00	18.371004330665677	14.344617905304059	12.602548961080618	10.900567193808826	9.341432344298948	6.569310356200548	6.249302241856745
2022-06-15 22:00:00	18.977734847271307	14.438578284596447	12.765299452997997	11.106355933737712	9.547657282687409	6.803629706485407	6.454514769005696
2022-06-15 23:00:00	18.70918199565898	14.219337399580883	12.68038615286719	10.925511283497176	9.425037049051024	6.711575676016355	6.3112531934488825
2022-06-16 00:00:00	17.47582815862458	13.42850420720331	12.071840835263071	10.445337556996446	8.912261526571609	6.339175280027916	5.904700073625487
2022-06-16 01:00:00	17.01829367069246	13.170113164149253	11.986927535132265	10.289436996444259	8.906687879588137	6.2805954424567005	5.893084270201962
2022-06-16 02:00:00	16.918829651576782	13.31888376469553	12.093069160295775	10.632418229659066	9.174222934794788	6.54002043741494	6.102168731825421
2022-06-16 03:00:00	18.321272321107834	14.454238347811843	13.31015979550401	11.243548427023637	9.843060572811419	7.171845828361617	6.675215034052683
2022-06-16 04:00:00	22.190422664707704	17.265219694975684	15.256089590168338	13.550876723195984	11.537449255786886	8.347626853898147	7.929721803793441
2022-06-16 05:00:00	26.029733802572864	20.11535120017802	18.32712061156586	15.933037288433383	13.688876991407048	9.833044163739673	9.261667263024373
2022-06-16 06:00:00	33.88739131271141	26.44984677080629	23.93847452854336	20.722302508596524	17.902554110911822	12.875011443330628	12.088179429415588
2022-06-16 07:00:00	30.346472232193275	23.247363843257514	20.78960631535927	18.134353203430244	15.57276967182056	11.130169138530864	10.49681436039259
2022-06-16 08:00:00	27.163623620491588	21.66569745850237	18.886133170760342	16.269782499226103	13.75018710822524	9.874886904861969	9.610141365730138
2022-06-16 09:00:00	18.699235593747414	14.031416640996111	12.42564625247477	10.701014476302028	9.35257963826589	6.527467615078251	6.253174176331254
2022-06-16 10:00:00	18.91805643580191	14.203677336365486	12.23459132718045	10.669834364191592	8.611284589464123	6.117408752079744	5.924059745998031
2022-06-16 11:00:00	20.708408779884106	15.754023594689833	13.812563487944619	11.960691005563689	10.066006452150296	6.862209544056623	6.60552021351153
2022-06-16 12:00:00	19.24628769888364	13.968776388134524	12.545940094326747	10.894331171386739	9.185370228761734	6.594416000873925	6.187351290264608
2022-06-16 13:00:00	14.143783518249371	10.969874282385911	9.680116214912008	8.387450157707592	6.994926964257266	4.845389421961932	4.69665651757883
2022-06-16 14:00:00	12.99994729841908	9.834519699269597	8.540862771490344	7.476990884082828	6.125438034835645	4.2763281426987	4.266871790908385
